//All new/added keys can be found within these lines
// PC PORT: Translate: (New keys)
// PC PORT: END: Translate

//All modified/altered keys can be found within these lines
// PC PORT: Translate: (Old key, new value)
// PC PORT: END: Translate

*game_english
{
	*MENU_CONTENTLOADFAILED		"Unable to load '§p0'."
	*CHAR_AI_WIZARD_L0		"Wizard Apprentice"
	*CHAR_AI_WIZARD_L1		"Wizard Journeyman"
	*CHAR_AI_WIZARD_L2		"Wizard Adept"
	*CHAR_AI_WIZARD_L3		"High Wizard"
	*CHAR_AI_DRUID			"Druid"
	*CHAR_AI_DRUID_L0		"Druid Novice"
	*CHAR_AI_DRUID_L1		"Druid Protector"
	*CHAR_AI_DRUID_L2		"Druid Guardian"
	*CHAR_AI_DRUID_L3		"Druid Elder"
	*CHAR_AI_ENGINEER		"Engineer"
	*CHAR_AI_ENGINEER_L0		"Gnome Apprentice"
	*CHAR_AI_ENGINEER_L1		"Gnome Engineer"
	*CHAR_AI_ENGINEER_L2		"Gnome Experimentist"
	*CHAR_AI_ENGINEER_L3		"Gnome Overseer"
	*CHAR_AI_BOARRIDER		"Halfling"
	*CHAR_AI_BOARRIDER_L0		"Halfling"
	*CHAR_AI_BOARRIDER_L1		"Halfling Scout"
	*CHAR_AI_BOARRIDER_L2		"Halfling Lookout"
	*CHAR_AI_BOARRIDER_L3		"Halfling Watcher"
	*CHAR_AI_BERSERKER		"Berserker"
	*CHAR_AI_BERSERKER_L0		"Berserker"
	*CHAR_AI_BERSERKER_L1		"Berserker Basher"
	*CHAR_AI_BERSERKER_L2		"Berserker Headsmasher"
	*CHAR_AI_BERSERKER_L3		"Berserker Brute"
	*CHAR_AI_BERSERKER_CAPTAIN	"Bor'je"
	*CHAR_AI_ASSASSIN		"Assassin"
	*CHAR_AI_ASSASSIN_L0		"Assassin"
	*CHAR_AI_ASSASSIN_L1		"Assassin Sneaker"
	*CHAR_AI_ASSASSIN_L2		"Assassin Stalker"
	*CHAR_AI_ASSASSIN_L3		"Assassin Elite"
	*CHAR_AI_SORCERESS		"Sorceress"
	*CHAR_AI_SORCERESS_L0		"Sorceress Novice"
	*CHAR_AI_SORCERESS_L1		"Sorceress"
	*CHAR_AI_SORCERESS_L2		"Sorceress Adept"
	*CHAR_AI_SORCERESS_L3		"High Sorceress"
	*CHAR_AI_LICH			"Lich"
	*CHAR_AI_LICH_L0		"Lesser Lich"
	*CHAR_AI_LICH_L1		"Lich"
	*CHAR_AI_LICH_L2		"Greater Lich"
	*CHAR_AI_LICH_L3		"Arch Lich"
	*CHAR_AI_BOMBARDIER		"Bombardier"
	*CHAR_AI_BOMBARDIER_L0		"Orc Apprentice"
	*CHAR_AI_BOMBARDIER_L1		"Orc Bombardier"
	*CHAR_AI_BOMBARDIER_L2		"Orc Deathcrafter"
	*CHAR_AI_BOMBARDIER_L3		"Orc Destructor"
	*CHAR_AI_BOMBARDIER_ACT		"Orc Apprentice"
	*CHAR_AI_BOMBARDIER_GHOST	"Ghost Orc"
	*CHAR_AI_WOLFRIDER		"Goblin"
	*CHAR_AI_WOLFRIDER_L0		"Snotling"
	*CHAR_AI_WOLFRIDER_L1		"Goblin "
	*CHAR_AI_WOLFRIDER_L2		"Goblin Warrior"
	*CHAR_AI_WOLFRIDER_L3		"Goblin Fanatic"
	*CHAR_AI_PALADIN		"Paladin"
	*CHAR_AI_PALADIN_L0		"Footman"
	*CHAR_AI_PALADIN_L1		"Soldier"
	*CHAR_AI_PALADIN_L1_ACT		"Soldier"
	*CHAR_AI_PALADIN_L2		"Paladin"
	*CHAR_AI_PALADIN_L3		"Templar"
	*CHAR_TEMPLATE_WOLF		"Wolf"
	*CHAR_AI_WOLF_L1		"Wolf L1"
	*CHAR_AI_WOLF_L3		"Wolf L3"
	*CHAR_AI_BOAR			"Boar"
	*CHAR_AI_BOAR_L1		"Boar"
	*CHAR_AI_BOAR_L3		"Boar"
	*CHAR_AI_WRAITH_L0		"Lesser Wraith"
	*CHAR_AI_WRAITH_L1		"Shadow Wraith"
	*CHAR_AI_WRAITH_L2		"Mist Wraith"
	*CHAR_AI_WRAITH_L3		"Hell Wraith"
	*CHAR_AI_VULTURE		"Vulture"
	*CHAR_AI_DRAGONBAT		"Dragon Bat"
	*CHAR_AI_SPECIAL_VATAR		"Vatar"
	*CHAR_AI_SPECIAL_DURZU		"Durzu"
	*CHAR_AI_SPECIAL_ZURANA		"Zurana"
	*CHAR_AI_SPECIAL_ZURANA_COPY	"Daemoncopy"
	*CHAR_AI_SPECIAL_DRAGON		"Fyrlakith"
	*CHAR_AI_MORDESSA		"Mordessa"
	*CHAR_AI_SPECIAL_MORDESSA	"Mordessa"
	*CHAR_AI_SPECIAL_LORUS		"Captain Lorus"
	*CHAR_AI_SPECIAL_ANCESTORHEAD	"Senator Alecto"
	*CHAR_AI_SPECIAL_JASINDRA	"Princess Jasindra"
	*CHAR_AI_SPECIAL_AYNDIREL	"Queen Aylindel"
	*CHAR_AI_SPECIAL_AYNDIREL_ACT	"Queen Aylindel"
	*CHAR_AI_SPECIAL_ZALE		"Zale"
	*CHAR_AI_ANCESTORWARRIOR	"Ancestor Warrior"
	*CHAR_AI_ANCESTORWARRIOR_L2	"Ancestor Footman"
	*CHAR_AI_ANCESTORWARRIOR_L3	"Ancestor Legionnare"
	*CHAR_AI_ANCESTORWARRIOR_L4	"Ancestor Legionnare"
	*CHAR_AI_ANCESTORWARRIOR_L5	"Ancestor Elite"
	*CHAR_AI_ANCESTORWARRIOR_L6	"Ancestors Centurion"
	*CHAR_AI_ANCESTORWARRIOR_L7	"Ancestor Commander"
	*CHAR_AI_NIGHTCRAWLER_L0	"Nightcrawler"
	*CHAR_AI_NIGHTCRAWLER_L1	"Nightcrawler"
	*CHAR_AI_NIGHTCRAWLER_CLOSETARGETED	"Nightcrawler"
	*CHAR_AI_STONEGNOME_L0		"Stonegnome"
	*CHAR_AI_ASSEMBLY_ACT		"Assembly Guard"
	*CHAR_AI_ASSEMBLY_ACTNOCULL	"Assembly Guard"
	*CHAR_AI_SKELETON		"Skeleton"
	*CHAR_AI_SKELETON_L0		"Skeleton"
	*CHAR_AI_SKELETON_L1		"Undead"
	*CHAR_AI_SKELETON_L2		"Skeleton"
	*CHAR_AI_SKELETON_L3		"Grim Skeleton"
	*CHAR_AI_SKELETON_L4		"Shadow Skeleton"
	*CHAR_AI_SKELETON_L5		"Dread Skeleton"
	*CHAR_AI_SKELETON_L6		"Dread Archer"
	*CHAR_AI_SKELETON_L7		"HellBone"
	*CHAR_AI_SKELETON_L8		"HellBone"
	*CHAR_AI_SKELETON_SUMMON	"Shadow Skeleton"
	*CHAR_AI_GOLEM			"Earth Golem"
	*CHAR_AI_GOLEM_L0		"Earth Golem"
	*CHAR_AI_GOLEM_SUMMON		"Earth Golem"
	*CHAR_AI_SCAARA_L0		"Scaara Warrior"
	*CHAR_AI_SPECIAL_BOMBARDIER_TORCH	"Orc Apprentice"
	*CHAR_AI_BOMB_GOBLIN		"Goblin Bomber"
	*CHAR_AI_BOMB_OGRE		"Berserk Bomber"
	*CHAR_TEMPLATE_SNIPER		"Elven Huntress"
	*CHAR_CH_HUNTRESS_1		"Elven Huntress"
	*CHAR_CH_HALFLING_1		"Halfling"
	*CHAR_CH_DRUID_1		"Druid Novice"
	*CHAR_CH_OGRE_1B		"Berserk Bomber"
	*CHAR_CH_HUNTRESS_1B		"Elven Huntress"
	*CHAR_CH_HALFLING_1B		"Halfling"
	*CHAR_CH_DRUID_1B		"Druid Novice"
	*CHAR_CH_BOMBARDIER_L3		"Orc Destructor"
	*CHAR_CH_ENGINEER_L3		"Gnome Overseer"
	*CHAR_CH_BOARRIDER_L3		"Halfling Watcher"
	*CHAR_CH_KNIGHT_L3		"Champion"
	*CHAR_AI_DRAGONWIZARD_L0	"Wizard Apprentice"
	*CHAR_AI_DRAGONWIZARD2_L0	"Wizard Apprentice"
	*CHAR_AI_DRAGONWIZARD3_L0	"Wizard Apprentice"
	*CHAR_AI_DRAGONWIZARD4_L0	"Wizard Apprentice"

	*CHAR_AI_VULTURE_L0		"Astral Vulture"
	*CHAR_AI_VULTURE_L1		"Vulture"
	*CHAR_AI_DRAGONBAT_L0		"Dragon Bat"
	*CHAR_AI_DRAGONBAT_L1		"Dragon Bat"
	*CHAR_AI_SPECIAL_MORDESSA_ARKMOOR "Mordessa"
	*CHAR_AI_SPECIAL_MORDESSA_ACT1 "Mordessa"
	*CHAR_AI_SPECIAL_MORDESSA_ACT2 "Mordessa"
	*CHAR_AI_SPECIAL_MORDESSA_ACT3 "Mordessa"
	*CHAR_AI_SPECIAL_MARCUS	"Merchant Marcus"
	*CHAR_AI_SPECIAL_AYNDIREL_ACT "Queen Aylindel"
	*CHAR_AI_ZALE			"Zale"
	*CHAR_AI_SPECIAL_ZALE		"Zale"
	*CHAR_AI_SPECIAL_ZALE2		"Zale"
	*CHAR_AI_SPECIAL_ZALE_ACT´	"Zale"
	*CHAR_AI_SPECIAL_MARNA		"Marna"
	*CHAR_AI_ANCESTORWARRIOR_L0	"Ancestor Footman"
	*CHAR_AI_ANCESTORWARRIOR_L1	"Ancestor Footman"
	*CHAR_AI_NIGHTCRAWLER_SPIRITSPAWN	"Nightcrawler"
	*CHAR_AI_NIGHTCRAWLER_SMALL_L0	"Nightcrawler"
	*CHAR_AI_STONEGNOME_DURZUSPAWN	"Stonegnome"
	*CHAR_AI_ASSEMBLY_L0		"Assembly Member"
	*CHAR_AI_ASSEMBLYGUARD_L0	"Assembly Guard"
	*CHAR_CH_SNIPER1	"Elven Huntress"
	*CHAR_CH_SNIPER2	"Elven Huntress"
	*CHAR_CH_SNIPER3	"Elven Huntress"
	*CHAR_CH_SNIPER4	"Elven Huntress"
	*CHAR_CH_SNIPER5	"Elven Huntress"
	*CHAR_CH_SNIPER6	"Elven Huntress"
	*CHAR_CH_OGRE_1		"Berserk Bomber"

	//-- New Characters start --//
	*CHAR_AI_MORDESSA_GOOD	"Mordessa"
	//-- New Characters end --//

	// May 4th additions


	*MENU_TOGGLENOCLIP "Toggle NoClip"
	*MENU_GODMODE "God Mode"
	*MENU_COMPLETEMISSION "Complete Mission"

	// May 3rd 19:16 additions

	*MENU_OPTCONTROLLER		"Controller"
	*MENU_NGDONE			"Done"
	*MENU_NGCLEAR			"Clear"
	*MENU_NGDEL			"Del"
	*MENU_NGSPACE			"Space"

	//

	*MENU_DRINKPOTION		"Drink potion"
	*MENU_NEXTWEAPON		"Next weapon"
	*MENU_NEXTITEM			"Next item"
	*MENU_PUSHFORJUMP		"Click for jump"
	*MENU_PUSHFORCROUCH		"Click for crouch"
	*MENU_NONE			"None"
	*OPTIONS_DAMAGE			"Damage indication"
	*OPTIONS_SUBTITLES		"Subtitles"

	// New game additions

	*MENU_NEWGAME_GAMEEXISTS	"A game named '§p0' already exists, do you want to continue and overwrite it?"

	// standard messages additions
	*STD_NOCONTROLLER			"No controller is connected"

	// General
	*GAMENAME				"Enclave"
	*DEVELOPER				"Starbreeze Studios AB"
	*PUBLISHER				"SWING! Entertainment Media AG"

	// Standard Messages (Microsoft TCR etc.)
	*STD_BADAPP			"Unrecoverable error encountered. Press any key to quit."
	*STD_BADGAMEDISC			"There's a problem with the disc you're using. It may be dirty or damaged."
	*STD_PLEASERECCONECT		"Please reconnect the controller and press START to continue"
	*STD_PAUSED					"Paused"
	*STD_GAME					"Game"
	*STD_LOADING				"Loading"

	// Menu general
	*MENU_OK				"OK"
	*MENU_BACK				"Back"
	*MENU_SELECT			"Select"
	*MENU_CANCEL			"Cancel"

	// Equip
	*MENU_EMPTYSLOT			"(Empty slot)"
	*MENU_AMMUNITION		"Ammunition"
	*MENU_SELLCURRENTITEM	"Sell current item"
	*MENU_NOAMMO			"No ammo"
	*MENU_MISCBOLTS			"§p0 Misc Bolts"
	*MENU_MISCARROWS		"§p0 Misc Arrows"

	// Scoreboard
	*MENU_REPLAY			"Do you want to replay this mission?"
	*MENU_SAVING			"Saving game..."

	// Info questions
	*MENU_EXIT_Q			"Are you sure you want to exit?"
	*MENU_EXIT_E_Q			"Are you sure you want to exit the mission?"
	*MENU_EXIT_R_Q			"Are you sure you want to restart the mission?"
	*MENU_EXIT_Q_Q			"Are you sure you want to quit to menu?"

	// Options
	*MENU_CONTROLLER1		"Controller method one"
	*MENU_CONTROLLER2		"Controller method two"
	*MENU_ENTERCATEGORY		"Enter category";
	*MENU_CONTROLLERTYPE		"Controller Config"
	*MENU_INVERTYAXIS		"Invert Y-Axis"
	*MENU_VIBRATION			"Vibration mode";
	*MENU_ON				"On";
	*MENU_OFF				"Off";
	*MENU_ON_ACTIVE				"On";
	*MENU_OFF_DESACTIVE			"Off";
	*MENU_DEFAULTSET		"Default Settings";
	*MENU_VIDEO				"Video";
	*MENU_PLAYER			"Player"
	*MENU_ALL			"All"

	*MENU_GRAPHICS				"Graphics";
	*MENU_VMODE				"Video Mode";
	*MENU_REFRESHRATE			"Refresh Rate";
	*MENU_WORLDTEXTURERES			"World Textures";
	*MENU_CHARTEXTURERES			"Character Textures";
	*MENU_FLARES				"Flares";
	*MENU_WALLMARKS				"Decals";
	*MENU_CHARSHADOWS			"Quality Shadows";
	*MENU_CHARLOD				"Character LOD";
	*MENU_CURVEDSURFLOD			"Curved Surfaces LOD";
	*MENU_COMPLEXSURF			"Complex Surfaces";
	*OPTIONS_CHECKPOINTS		"Checkpoints";
	*MENU_MOUSESENS			"Mouse Sensitivity";
	*MENU_EASY			"Easy";
	*MENU_MEDIUM			"Medium";
	*MENU_HARD			"Hard";
	*OPTIONS_DIFFICULTY		"Difficulty"
	*MENU_VSYNC			"Sync to refresh"
	*MENU_ANISOTROPHIC		"Anisotropy";
	*MENU_TEXTURES			"Textures";
// PC PORT: Translate: (New keys)	
	*MENU_3DSOUND			"3D Sound"
// PC PORT: END: Translate

	*MENU_BRIGHTNESS		"Brightness";
	*MENU_SOUND				"Sound";
	*MENU_SOUNDVOLUME		"Sound Volume";
	*MENU_MUSICVOLUME		"Music Volume";
	*MENU_GAME				"Game";
	*MENU_BLOOD				"Blood";
	*MENU_GOBACK			"Are you sure you want to go back?";
	*MENU_LEFTTUMB			"Left thumbstick:";
	*MENU_MOVESTRAFE		"Move / Strafe";
	*MENU_JUMP				"Jump";
	*MENU_BUTTON			"Button";
	*MENU_RIGHTTUMB			"Right Thumstick:";
	*MENU_SWITCHWEAPON		"Switch weapon";
	*MENU_DRINKPOTION		"Drink potion";
	*MENU_CHANGEITEM		"Change item";
	*MENU_MOVE				"Move";
	*MENU_AIM				"Aim";
	*MENU_FIRSTPERSIONCAM	"First person camera";
	*MENU_CAMZOOMIN			"Camera zoom in";
	*MENU_THIRDPERSIONCAM	"Third person camera";
	*MENU_CAMZOOMOUT		"Camera zoom out";
	*MENU_START				"Start";
	*MENU_PAUSEMENU			"Pause menu";
	*MENU_RIGHTTRIGGER		"Right trigger";
	*MENU_LEFTTRIGGER		"Left trigger";
	*MENU_ATTACK			"Attack";
	*MENU_WEAPONUSE			"Shield / Use";

	// Main menu
	*MENU_NEWGAME			"New Game"
	*MENU_LOADGAME			"Load game"
	*MENU_TEAMBATTLE		"Team battle"
	*MENU_CONTINUE			"Continue"
	*MENU_CREDITS			"Credits"
	*MENU_OPTIONS			"Options"
	*MENU_COPYRIGHT			"§Z15§LGAMENAME§pq, Copyright 2001-2002 §LDEVELOPER§pq"
	*MENU_PRESSSTART		"Press Start"
	*MENU_PRESSENTER		"Press Enter"
	*MENU_EXITGAME			"Exit Game"


	// Load game menu

	*MENU_DATEANDTIME		"Date and Time"
	*MENU_LEVEL				"Level:"
	*MENU_LASTCHALLENGE		"Last challenge"
// PC PORT: Translate: (Old key, new value)
	*MENU_DELETEGAME		"Delete"
// PC PORT: END: Translate
	*MENU_DELETEGAME_Q		"Do you want to delete the selected save game?"

	// Quit
	*MENU_QUIT				"Quit"
	*MENU_QUITASK			"Quit?"
	*MENU_AREYOUSURE		"Are you sure?"

	// New/Create Game
// PC PORT: Translate: (New keys)
	*MENU_SELECT_EASY		"Easy"
	*MENU_SELECT_MEDIUM		"Medium"
	*MENU_SELECT_HARD		"Hard"
// PC PORT: END: Translate
	*MENU_NEXT				"Next"
	*MENU_STARTGAME			"Start Game"
	*MENU_ENTERNAME			"Enter name of game"
	*MENU_CHOOSEEPISODE		"Choose Campaign"

	*MENU_CAMPAIGNLIGHT		"Light Campaign"
	*MENU_CAMPAIGNDARK		"Dark Campaign"

	*MENU_VS			"VS"
	*MENU_2PLAYERH			"2 player (horizontal)"
	*MENU_2PLAYERV			"2 players (vertical)"
	*MENU_3PLAYER			"3 players"
	*MENU_4PLAYER			"4 players"
	*MENU_UNSUPPORTED		"This feature is not supported yet"
	*MENU_GAMETYPE			"Game type:"
	*MENU_LAUNCH			"Launch map"
	*MENU_MAPNAME			"Map name"
	*MENU_AUTHOR			"Author"
	*MENU_GAMEMODES		"Game modes"
	*MENU_PLAYERS			"Players"
	*MENU_JOINGAME			"Join game"
	*MENU_SCAN			"Scan servers"
	*MENU_JOIN			"Join"

	// Server list
	*MENU_IPADDR			"IP Address"
	*MENU_SERVERNAME		"Server name"
	*MENU_MAPTYPE			"Type"
	*MENU_MAPNAME			"Map"
	*MENU_MAPPLAYERS		"Players"
	*MENU_FL			"FL"
	*MENU_TL			"TL"
	*MENU_PING			"Return"
	*MENU_PLAYERNAME		"Player name"

	// Player list
	*MENU_PLISTTEAM		"Team"
	*MENU_PLISTSCORE		"Score"
	*MENU_PLISTPING			"Ping"

	// Server variable list
	*MENU_SVV_VARNAME		"Variable name"
	*MENU_SVV_VARVALUE		"Value"

	// Options
	*MENU_WORLDTXT		"World texture resolution"
	*MENU_OBJECTTXT		"Object texture resolution"
	*MENU_MULTIPASS		"Multipass materials"
	*MENU_DISABLE			"Disable"
	*MENU_ENABLE			"Enable"
	*MENU_FLARES			"Flares"
	*MENU_DYNLIGHT			"Dynamic lights"
	*MENU_MODELLIGHT		"Model lighting"
	*MENU_NICE			"Nice"
	*MENU_FAST			"Fast"
	*MENU_WALLMARK		"Marks on walls"
	*MENU_STENCILSHADOWS		"Stencil shadows"
	*MENU_MOUSESENSX		"Mouse sensitivity X"
	*MENU_MOUSESENSY		"Mouse sensitivity Y"
	*MENU_MOUSEINVERT		"Invert mouse"
	*MENU_NO			"No"
	*MENU_YES			"Yes"
	*MENU_BRIGHTNESS		"Brightness"
	*MENU_APPLY			"Apply"

	*MENU_CONTROLS		"Controls"
	*MENU_AUDIO			"Audio"
	*MENU_VIDEO			"Video"
	*MENU_PARCTRL			"Parental control"
	*MENU_LANG			"Language"

	*MENU_CHOOSELOC		"Choose location"

	*MENU_DEVINSTALL		"This will install Enclave to the Xbox dev-kit hard-drive"
	*MENU_DEVREBOOT1		"Installation complete"
	*MENU_DEVREBOOT2		"Please remove the disc from the drive and reboot."

	// Game menu
	*MENU_RESUME			"Resume"
	*MENU_RESTARTMAP		"Restart map"
	*MENU_MISSIONFAIL		"Fail mission"
	*MENU_MISSIONSUCCESS		"Complete mission"
	*MENU_CONTROLLER		"Controller"
	*MENU_NOCLIP			"'noclip' toggle"
	*MENU_DEBUGMENU			"Debug menu"
	*MENU_QUITTOMENU		"Quit to menu"
	*MENU_SHOWBRIEFING		"Show briefing"
	*MENU_RESTARTMISSION	"Restart mission"
	*MENU_QUITTOMAP			"Quit to map"

	// Upgrade
	*MENU_GOLD			"Gold:"
	*MENU_EQUIP			"Equip Character"	// changed
	*MENU_EQUIPSEL			"Select Character"	// changed
	*MENU_CLOSE			"Close"
	*MENU_TEAM			"Team"
	*MENU_TEAMLIGHT			"Light"
	*MENU_TEAMDARK			"Dark"
	*MENU_CHARACTER			"Character"
	*MENU_SPECTATE			"Spectate"
	*MENU_ENTERGAME			"Enter game"
	*MENU_ENDMISSION		"End mission"
	*MENU_NEXTPAGE			"Next page"
	*MENU_GOTO			"Go to"
	*MENU_LOADING			"Loading §p0..."
	*MENU_CONNECTING		"Connecting..."
	*MENU_CONNECTCOMPLETE		"Sequence complete, waiting for server."
	*MENU_PROGRESS			"§p0% complete"

	// Strings from gamecode
	*MENU_NEXTCHAR			"Next character"
	*MENU_PREVCHAR			"Previous character"
	*MENU_DONE			"Done"
	*MENU_SKILLS			"Skills"
	*MENU_CURRENCY			"Skillpoints"
	*MENU_CHANGEITEM		"Change item §p0"
	*MENU_CHANGESKILL		"Change skill §p0"
	*MENU_BUY			"Buy §p0"
	*MENU_BACKTOITEMS		"Back to items"
	*MENU_GOTO_SC			"Go to select challange"
	*MENU_ITEMS			"Items"
	*MENU_GOLD2			"Gold"
	*MENU_SKILLPOINTS		"Skill points: §p0"

	// Dialogue window
	*MENU_DLGEXIT			"Exit"
	*MENU_CUTSCENEQUIT		"Skip"
	*MENU_BRIEFING			"Briefing"
	*MENU_BRIEFINGQUIT		"End briefing"
	*MENU_SCORENEXT			"Next page"
	*MENU_SCOREREPLAY		"Replay map"
	*MENU_SELECTCHALLANGE		"Select"

	*MENU_FAIL_FREEBLOCKS_Q4 "Your Xbox doesn't have enough free blocks to save options. (§p0 blocks needed. §p1 blocks free.)"
	*MENU_FAIL_FREEBLOCKS_Q3 "Your Xbox doesn't have enough free blocks to save games. Press A to continue without saving or B to free more blocks."
	*MENU_FAIL_FREEBLOCKS_Q2 "Your Xbox doesn't have enough free blocks to save game progress and options. (§p0 blocks needed. §p1 blocks free.)"
	*MENU_FAIL_FREEBLOCKS_Q "Your Xbox doesn't have enough free blocks to save a new game. (§p0 blocks needed. §p1 blocks free.)"
	*MENU_FAIL_FREEBLOCKS_A "Continue without saving"
	*MENU_FAIL_FREEBLOCKS_B "Go to the Dashboard to free more blocks"
	*MENU_FAIL_FREESLOTS_Q "There aren't enough free slots to save a new game."
	*MENU_FAIL_FREESLOTS_A "Continue without saving"
	*MENU_FAIL_FREESLOTS_B "Free slots"
	*MENU_FAIL_TOMANYSAVES_Q "You have exceeded the maximum limit of saved games on your storage device."
	*MENU_FAIL_TOMANYSAVES_A "Continue without saving"
	*MENU_FAIL_TOMANYSAVES_B "Go to the Dashboard and delete a saved game"
	*MENU_EXIT "Are you sure you want to exit?"
	*MENU_FAIL_MAXSAVES "You have too many saved games on your computer. Only the first 10 will be shown."

	// Select char
	*MENU_SC_CHOOSE			"Choose your character"

	// Game
	*GAME_CANNOTAFFORD		"You cannot afford that item."
	*GAME_BUYTIMEOUT		"Time period for equipment upgrade has elapsed"


	// Characters
	*CHAR_PALADIN			"Knight"
	*CHARDESC_PALADIN		"The Knights are strong warriors, revered for their valour in combat."
	*CHAR_ARCHER			"Huntress"
	*CHARDESC_ARCHER		"The Huntresses are agile, and very nimble with the bow."
	*CHAR_WIZARD			"Wizard"
	*CHARDESC_WIZARD		"The Wizards are powerful wielders of elemental magic."
	*CHAR_DRUID			"Druid"
	*CHARDESC_DRUID			"The Druids draw magical power from earth and spirit."
	*CHAR_ENGINEER			"Engineer"
	*CHARDESC_ENGINEER		"The Engineers are very skilled in the use of bombs and traps."
	*CHAR_BOARRIDER			"Halfling"
	*CHARDESC_BOARRIDER		"The Halflings are very fast and dexterious warriors."
	*CHAR_BERSERKER			"Berserker"
	*CHARDESC_BERSERKER		"The Berserker's brute force in combat is nearly unmatched."
	*CHAR_ASSASSIN			"Assassin"
	*CHARDESC_ASSASSIN		"The Assassins rely on skillful marksmanship and quickness."
	*CHAR_SORCERESS			"Sorceress"
	*CHARDESC_SORCERESS		"The Sorceresses are powerful wielders of destructive magic."
	*CHAR_LICH			"Lich"
	*CHARDESC_LICH			"The Lich is a king of the undead, wielding arcane magic."
	*CHAR_BOMBARDIER		"Bombardier"
	*CHARDESC_BOMBARDIER		"The Bombardiers are the most crazy, deranged fanatics in the world."
	*CHAR_WOLFRIDER			"Goblin"
	*CHARDESC_WOLFRIDER		"The Goblin's sheer viciousness makes up for their lack of size."
	*CHAR_GOLEM			"Earth Golem"
	*CHARDESC_GOLEM			"A powerful, magic elemental creature."
	*CHAR_9320			"9320 Battle Droid"
	*CHARDESC_9320			"The 9320 Battle Droid from Enclave Classic! Enjoy"
	*CHAR_STONEGNOME		"Stone Gnome"
	*CHARDESC_STONEGNOME		"The Stonegnome is born out of lava and is small but powerful"
	*CHAR_FETICIA			"Feticia"
	*CHARDESC_FETICIA		"Featuring Feticia from Enclave Classic! Enjoy"

	//-- New Characters start --//
	*CHAR_ANCESTOR			"Ancestor Warrior"
	*CHARDESC_ANCESTOR		"The warriors of the old Ancestrals are strong and are feared for their bravery in battle"
	*CHAR_MARCUS			"Marcus"
	*CHARDESC_MARCUS		"The famous merchant of Celenheim"
	*CHAR_LORUS				"Captain Lorus"
	*CHARDESC_LORUS			"A well known and experienced sailor"
	*CHAR_JASINDRA			"Princess Jasindra"
	*CHARDESC_JASINDRA		"The heiress of Celenheim, daughter of Queen Ayndirel"
	*CHAR_AYNDIREL			"Queen Ayndirel"
	*CHARDESC_AYNDIREL		"The reigning ruler of Celenheim"
	*CHAR_ZALE				"Zale"
	*CHARDESC_ZALE			"The fabled creator of the rift between Celenheim and the Outlands"
