//All new/added keys can be found within these lines
// PC PORT: Translate: (New keys)
// PC PORT: END: Translate

//All modified/altered keys can be found within these lines
// PC PORT: Translate: (Old key, new value)
// PC PORT: END: Translate

*game_german
{
		*MENU_CONTENTLOADFAILED		"'§p0' laden nicht möglich."
		*CHAR_AI_ENGINEER_L0		"Zwergen- lehrling"
		*CHAR_AI_ENGINEER_L1		"Zwergen- ingenieur"
		*CHAR_AI_ENGINEER_L2		"Zwergenpionier"
		*CHAR_AI_ENGINEER_L3		"Zwergenwache"
		*CHAR_AI_BOARRIDER		"Halbling"
		*CHAR_AI_BOARRIDER_L0		"Halbling"
		*CHAR_AI_BOARRIDER_L1		"Halblingspäher"
		*CHAR_AI_BOARRIDER_L2		"Halbling- Kundschafter"
		*CHAR_AI_BOARRIDER_L3		"Halbling- Wächter"
		*CHAR_AI_BERSERKER		"Berserker"
		*CHAR_AI_BERSERKER_L0		"Berserker"
		*CHAR_AI_BERSERKER_L1		"Berserker- Schläger"
		*CHAR_AI_BERSERKER_L2		"Berserker- Brecher"
		*CHAR_AI_BERSERKER_L3		"Berserker- Zerstörer"
		*CHAR_AI_BERSERKER_CAPTAIN	"Bor'je"
		*CHAR_AI_ASSASSIN		"Assassine"
		*CHAR_AI_ASSASSIN_L0		"Assassinen- novizin"
		*CHAR_AI_ASSASSIN_L1		"Assassine"
		*CHAR_AI_ASSASSIN_L2		"Schatten- assassine"
		*CHAR_AI_ASSASSIN_L3		"Elite- Assassine"
		*CHAR_AI_SORCERESS		"Zauberin"
		*CHAR_AI_SORCERESS_L0		"Zauberinnen- Novize"
		*CHAR_AI_SORCERESS_L1		"Zauberin"
		*CHAR_AI_SORCERESS_L2		"Zauberinnen- Adepte"
		*CHAR_AI_SORCERESS_L3		"Hexenmeisterin"
		*CHAR_AI_LICH			"Lich"
		*CHAR_AI_LICH_L0		"Niederer Lich"
		*CHAR_AI_LICH_L1		"Lich"
		*CHAR_AI_LICH_L2		"Hoher Lich"
		*CHAR_AI_LICH_L3		"Erz Lich"
		*CHAR_AI_BOMBARDIER		"Bombardier"
		*CHAR_AI_BOMBARDIER_L0		"Ork"
		*CHAR_AI_BOMBARDIER_L1		"Orkbombardier"
		*CHAR_AI_BOMBARDIER_L2		"Orkhauptmann"
		*CHAR_AI_BOMBARDIER_L3		"Orkoberst"
		*CHAR_AI_BOMBARDIER_ACT		"Ork"
		*CHAR_AI_BOMBARDIER_GHOST	"Geisterork"
		*CHAR_AI_WOLFRIDER		"Goblin"
		*CHAR_AI_WOLFRIDER_L0		"Widerling"
		*CHAR_AI_WOLFRIDER_L1		"Goblin"
		*CHAR_AI_WOLFRIDER_L2		"Goblinkrieger"
		*CHAR_AI_WOLFRIDER_L3		"Goblin- fanatiker"
		*CHAR_AI_PALADIN		"Paladin"
		*CHAR_AI_PALADIN_L0		"Knappe"
		*CHAR_AI_PALADIN_L1		"Soldat"
		*CHAR_AI_PALADIN_L1_ACT		"Soldat"
		*CHAR_AI_PALADIN_L2		"Paladin"
		*CHAR_AI_PALADIN_L3		"Templer"
		*CHAR_TEMPLATE_WOLF		"Wolf"
		*CHAR_AI_WOLF_L1		"Wolf L1"
		*CHAR_AI_WOLF_L3		"Wolf L3"
		*CHAR_AI_BOAR			"Wildschwein"
		*CHAR_AI_BOAR_L1		"Wildschwein"
		*CHAR_AI_BOAR_L3		"Wildschwein"
		*CHAR_AI_WRAITH_L0		"Geist"
		*CHAR_AI_WRAITH_L1		"Schatten"
		*CHAR_AI_WRAITH_L2		"Alb"
		*CHAR_AI_WRAITH_L3		"Verlorene Seele"
		*CHAR_AI_VULTURE		"Aasgeier"
		*CHAR_AI_DRAGONBAT		"Fledermaus"
		*CHAR_AI_SPECIAL_VATAR		"Vatar"
		*CHAR_AI_SPECIAL_DURZU		"Durzu"
		*CHAR_AI_SPECIAL_ZURANA		"Zurana"
		*CHAR_AI_SPECIAL_ZURANA_COPY	"Zuranas Zwilling"
		*CHAR_AI_SPECIAL_DRAGON		"Fyrlakith"
		*CHAR_MORDESSA			"Mordessa"
		*CHAR_AI_SPECIAL_MORDESSA	"Mordessa"
		*CHAR_AI_SPECIAL_LORUS		"Käpitän Lorus"
		*CHAR_AI_SPECIAL_ANCESTORHEAD	"Senator Alecto"
		*CHAR_AI_SPECIAL_JASINDRA	"Prinzessin Jasindra"
		*CHAR_AI_SPECIAL_AYNDIREL	"Königin Aylindel"
		*CHAR_AI_SPECIAL_AYNDIREL_ACT	"Königin Aylindel"
		*CHAR_AI_SPECIAL_ZALE		"Zale"
		*CHAR_AI_ANCESTORWARRIOR	"Ahnenkrieger"
		*CHAR_AI_ANCESTORWARRIOR_L2	"Ahnenlegionär"
		*CHAR_AI_ANCESTORWARRIOR_L3	"Ahnentribun"
		*CHAR_AI_ANCESTORWARRIOR_L4	"Ahnentribun"
		*CHAR_AI_ANCESTORWARRIOR_L5	"Ahnenelite"
		*CHAR_AI_ANCESTORWARRIOR_L6	"Ahnenzenturio"
		*CHAR_AI_ANCESTORWARRIOR_L7	"Ahnen- kommandeur"
		*CHAR_AI_NIGHTCRAWLER_L0	"Werwolf"
		*CHAR_AI_NIGHTCRAWLER_L1	"Werwolf"
		*CHAR_AI_NIGHTCRAWLER_CLOSETARGETED	"Werwolf"
		*CHAR_AI_STONEGNOME_L0		"Steingnom"
		*CHAR_AI_ASSEMBLY_ACT		"Ratswache"
		*CHAR_AI_ASSEMBLY_ACTNOCULL	"Ratswache"
		*CHAR_AI_SKELETON		"Skelett"
		*CHAR_AI_SKELETON_L0		"Skelett"
		*CHAR_AI_SKELETON_L1		"Untoter"
		*CHAR_AI_SKELETON_L2		"Skelett"
		*CHAR_AI_SKELETON_L3		"Schreckens- skelett"
		*CHAR_AI_SKELETON_L4		"Schattenskelett"
		*CHAR_AI_SKELETON_L5		"Schreckens- krieger"
		*CHAR_AI_SKELETON_L6		"Schreckens- schütze"
		*CHAR_AI_SKELETON_L7		"Höllenskelett"
		*CHAR_AI_SKELETON_L8		"Höllenskelett"
		*CHAR_AI_SKELETON_SUMMON	"Schattenskelett"
		*CHAR_AI_GOLEM			"Erdgolem"
		*CHAR_AI_GOLEM_L0		"Erdgolem"
		*CHAR_AI_GOLEM_SUMMON		"Erdgolem"
		*CHAR_AI_SCAARA_L0		"Scaara Krieger"
		*CHAR_AI_SPECIAL_BOMBARDIER_TORCH	"Ork"
		*CHAR_AI_BOMB_GOBLIN		"Goblin Bomber"
		*CHAR_AI_BOMB_OGRE		"Berserker Bomber"
		*CHAR_TEMPLATE_SNIPER		"Elfenjägerin"
		*CHAR_CH_HUNTRESS_1		"Elfenjägerin"
		*CHAR_CH_HALFLING_1		"Halbling"
		*CHAR_CH_DRUID_1		"Druidennovizin"
		*CHAR_CH_OGRE_1B		"Berserker Bomber"
		*CHAR_CH_HUNTRESS_1B		"Elfenjägerin"
		*CHAR_CH_HALFLING_1B		"Halbling"
		*CHAR_CH_DRUID_1B		"Druidennovizin"
		*CHAR_CH_BOMBARDIER_L3		"Orkzerstörer"
		*CHAR_CH_ENGINEER_L3		"Zwergenwache"
		*CHAR_CH_BOARRIDER_L3		"Halblingwache"
		*CHAR_CH_KNIGHT_L3		"Edelmann"
		*CHAR_AI_DRAGONWIZARD_L0	"Zauber- lehrling"
		*CHAR_AI_DRAGONWIZARD2_L0	"Zauber- lehrling"
		*CHAR_AI_DRAGONWIZARD3_L0	"Zauber- lehrling"
		*CHAR_AI_DRAGONWIZARD4_L0	"Zauber- lehrling"

		*CHAR_AI_VULTURE_L0		"Astralvogel"
		*CHAR_AI_VULTURE_L1		"Aasgeier"
		*CHAR_AI_DRAGONBAT_L0		"Fledermaus"
		*CHAR_AI_DRAGONBAT_L1		"Fledermaus"
		*CHAR_AI_SPECIAL_MORDESSA_ARKMOOR "Mordessa"
		*CHAR_AI_SPECIAL_MORDESSA_ACT1 "Mordessa"
		*CHAR_AI_SPECIAL_MORDESSA_ACT2 "Mordessa"
		*CHAR_AI_SPECIAL_MORDESSA_ACT3 "Mordessa"
		*CHAR_AI_SPECIAL_MARCUS	"Marcus"
		*CHAR_AI_SPECIAL_AYNDIREL_ACT "Königin Aylindel"
		*CHAR_AI_ZALE			"Zale"
		*CHAR_AI_SPECIAL_ZALE		"Zale"
		*CHAR_AI_SPECIAL_ZALE2		"Zale"
		*CHAR_AI_SPECIAL_ZALE_ACT´	"Zale"
		*CHAR_AI_SPECIAL_MARNA		"Marna"
		*CHAR_AI_ANCESTORWARRIOR_L0	"Ahnenkrieger"
		*CHAR_AI_ANCESTORWARRIOR_L1	"Ahnenkrieger"
		*CHAR_AI_NIGHTCRAWLER_SPIRITSPAWN	"Werwolf"
		*CHAR_AI_NIGHTCRAWLER_SMALL_L0		"Werwolf"
		*CHAR_AI_STONEGNOME_DURZUSPAWN	"Steingnom"
		*CHAR_AI_ASSEMBLY_L0		"Ratsmitglieder"
		*CHAR_AI_ASSEMBLYGUARD_L0	"Ratswache"
		*CHAR_CH_SNIPER1	"Elven Huntress"
		*CHAR_CH_SNIPER2	"Elven Huntress"
		*CHAR_CH_SNIPER3	"Elven Huntress"
		*CHAR_CH_SNIPER4	"Elven Huntress"
		*CHAR_CH_SNIPER5	"Elven Huntress"
		*CHAR_CH_SNIPER6	"Elven Huntress"
		*CHAR_CH_OGRE_1		"Berserker Bomber"
		
		//-- New Characters start --//
		*CHAR_MORDESSA_GOOD	"Mordessa"
		//-- New Characters end --//
	// May 4th additions


	*MENU_TOGGLENOCLIP "Kollision ausschalten"
	*MENU_GODMODE "Unbesiegbarkeit"
	*MENU_COMPLETEMISSION 		"Mission abschliessen"

	// May 3rd 19:16 additions

	*MENU_OPTCONTROLLER		"Controller"
	*MENU_NGDONE			"Start"
	*MENU_NGCLEAR			"Lösch."
	*MENU_NGDEL			"Entf."
	*MENU_NGSPACE			"Leer"

	//

	*MENU_DRINKPOTION		"Heiltrank trinken"
	*MENU_NEXTWEAPON		"Waffe wechseln"
	*MENU_NEXTITEM			"Gegenstand wechseln"
	*MENU_PUSHFORJUMP		"Zum Springen klicken"
	*MENU_PUSHFORCROUCH		"Zum Ducken klicken"
	*MENU_NONE			"-Leeren-"
	*OPTIONS_DAMAGE			"Schadensanzeige"
	*OPTIONS_SUBTITLES		"Untertitel"

	// New game additions

	*MENU_NEWGAME_GAMEEXISTS	"Ein Spielstand mit dem Namen '§p0' existiert bereits. Soll dieser überschrieben werden?"

	// standard messages additions
	*STD_NOCONTROLLER			"Es ist kein Controller angeschlossen."

	// General
	*GAMENAME				"Enclave"
	*DEVELOPER				"Starbreeze Studios AB"
	*PUBLISHER				"SWING! Entertainment Media AG"

	// Standard Messages (Microsoft TCR etc.)
	*STD_BADAPP			"Irreparabler Fehler. Beenden mit irgendeiner Taste."
	*STD_BADGAMEDISC		"Ein Problem mit der CD ist aufgetreten. Sie ist möglicherweise verschmutzt oder beschädigt."
	*STD_PLEASERECCONECT		"Bitte den Controller wieder anschliessen und START drücken."
	*STD_PAUSED					"Pause"
	*STD_GAME					"Spiel"
	*STD_LOADING				"Lade"

	// Menu general
	*MENU_OK			"OK"
	*MENU_BACK			"Zurück"
	*MENU_SELECT			"Auswahl"
	*MENU_CANCEL			"Abbruch"

	// Equip
	*MENU_EMPTYSLOT			"(Leer)"
	*MENU_AMMUNITION		"Munition"
	*MENU_SELLCURRENTITEM	"Gegenstand verkaufen"
	*MENU_NOAMMO			"Keine Munition"
	*MENU_MISCBOLTS			"§p0 versch. Bolzen"
	*MENU_MISCARROWS		"§p0 versch. Pfeile"

	// Scoreboard
	*MENU_REPLAY			"Diese Mission noch einmal spielen?"
	*MENU_SAVING			"Spiel wird gespeichert..."

	// Info questions
	*MENU_EXIT_Q			"Das Spiel wirklich verlassen?"
	*MENU_EXIT_E_Q			"Die Mission wirklich verlassen?"
	*MENU_EXIT_R_Q			"Die Mission neu starten?"
	*MENU_EXIT_Q_Q			"Wirklich ins Menü zurückkehren?"

	// Options
	*MENU_CONTROLLER1		"Controller-Methode 1"
	*MENU_CONTROLLER2		"Controller-Methode 2"
	*MENU_ENTERCATEGORY		"Kategorie wählen";
	*MENU_CONTROLLERTYPE		"Controller-konfig."
	*MENU_INVERTYAXIS		"Y-Achse umkehren"
	*MENU_VIBRATION			"Vibrationmodus";
	*MENU_ON			"Ein";
	*MENU_OFF			"Aus";
	*MENU_ON_ACTIVE			"Ein";
	*MENU_OFF_DESACTIVE		"Aus";
	*MENU_DEFAULTSET		"Standardeinstellungen";
	*MENU_VIDEO			"Video";
	*MENU_PLAYER			"Spieler"
	*MENU_ALL			"Alle"


	*MENU_GRAPHICS				"Grafik";
	*MENU_VMODE				"Videomodus";
	*MENU_REFRESHRATE			"Bildfrequenz";
	*MENU_WORLDTEXTURERES			"Welt-Texturen";
	*MENU_CHARTEXTURERES			"Charakter-Texturen";
	*MENU_FLARES				"Flares";
	*MENU_WALLMARKS				"Wandmarkierungen";
	*MENU_CHARSHADOWS			"Qualitätsschatten";
	*MENU_CHARLOD				"Charakter-LOD";
	*MENU_CURVEDSURFLOD			"gekr. Oberflächen";
	*MENU_COMPLEXSURF			"Kompl. Oberflächen";
	*OPTIONS_CHECKPOINTS		"Checkpoints";
	*MENU_MOUSESENS			"Maus-Empfindlichkeit";
	*MENU_EASY			"Leicht";
	*MENU_MEDIUM			"Mittel";
	*MENU_HARD			"Schwer";
	*OPTIONS_DIFFICULTY		"Schwierigkeit"
	*MENU_VSYNC			"vSync"
	*MENU_ANISOTROPHIC		"Anisotropie";
	*MENU_TEXTURES			"Texturen";
	*MENU_3DSOUND			"3D Sound"

	*MENU_BRIGHTNESS		"Helligkeit";
	*MENU_SOUND			"Sound";
	*MENU_SOUNDVOLUME		"Lautstärke Sound";
	*MENU_MUSICVOLUME		"Lautstärke Musik";
	*MENU_GAME			"Spiel";
	*MENU_BLOOD			"Blut";
	*MENU_GOBACK			"Dieses Menü verlassen?";
	*MENU_LEFTTUMB			"Ministick links";
	*MENU_MOVESTRAFE		"Bewegen";
	*MENU_JUMP			"Springen";
	*MENU_BUTTON			"Taste";
	*MENU_RIGHTTUMB			"Ministick rechts";
	*MENU_DRINKPOTION		"Heiltrank trinken"
	*MENU_SWITCHWEAPON		"Waffe wechseln";
	*MENU_CHANGEITEM		"Gegenstand wechseln";
	*MENU_MOVE				"Bewegen";
	*MENU_AIM				"Zielen";
	*MENU_FIRSTPERSIONCAM	"Kamera 'Erste Person'";
	*MENU_CAMZOOMIN			"Kamera heranzoomen";
	*MENU_THIRDPERSIONCAM	"Kamera 'Dritte Person'";
	*MENU_CAMZOOMOUT		"Kamera herauszoomen";
	*MENU_START				"Start";
	*MENU_PAUSEMENU			"Pausenmenü";
	*MENU_RIGHTTRIGGER		"Schalter rechts";
	*MENU_LEFTTRIGGER		"Schalter links";
	*MENU_ATTACK			"Angriff";
	*MENU_WEAPONUSE			"Schild / Benutzen";

	// Main menu
	*MENU_NEWGAME			"Neues Spiel"
	*MENU_LOADGAME			"Spiel laden"
	*MENU_TEAMBATTLE		"Team-Kampf"
	*MENU_CONTINUE			"Fortsetzen"
	*MENU_CREDITS			"Credits"
	*MENU_OPTIONS			"Optionen"
	*MENU_COPYRIGHT			"§Z15§LGAMENAME§pq, Copyright 2001-2002 §LDEVELOPER§pq"
	*MENU_PRESSSTART		"Start drücken"
	*MENU_PRESSENTER		"Enter drücken"
	*MENU_EXITGAME			"Beenden"


	// Load game menu

	*MENU_DATEANDTIME		"Datum und Zeit"
	*MENU_LEVEL			"Level:"
	*MENU_LASTCHALLENGE		"Spielstand"

	*MENU_DELETEGAME		"Löschen"

	*MENU_DELETEGAME_Q		"Den ausgewählten Spielstand wirklich löschen?"

	// Quit
	*MENU_QUIT			"Beenden"
	*MENU_QUITASK			"Beenden?"
	*MENU_AREYOUSURE		"Bitte bestätigen:"

	// New/Create Game
	*MENU_SELECT_EASY		"Leicht"
	*MENU_SELECT_MEDIUM		"Mittel"
	*MENU_SELECT_HARD		"Schwer"
	*MENU_NEXT				"Weiter"
	*MENU_STARTGAME			"Spiel beginnen"
	*MENU_ENTERNAME		"Spielnamen eingeben"
	*MENU_CHOOSEEPISODE		"Kampagne wählen"

	*MENU_CAMPAIGNLIGHT		"Kampagne des Lichts"
	*MENU_CAMPAIGNDARK		"Kampagne der Finsternis"

	*MENU_VS			"VS"
	*MENU_2PLAYERH			"2 Spieler (horizontal)"
	*MENU_2PLAYERV			"2 Spieler (vertikal)"
	*MENU_3PLAYER			"3 Spieler"
	*MENU_4PLAYER			"4 Spieler"
	*MENU_UNSUPPORTED		"Diese Funktion wird noch nicht unterstützt"
	*MENU_GAMETYPE			"Spieltyp:"
	*MENU_LAUNCH			"Start-Karte"
	*MENU_MAPNAME			"Kartenname"
	*MENU_AUTHOR			"Autor"
	*MENU_GAMEMODES		"Spielmodi"
	*MENU_PLAYERS			"Spieler"
	*MENU_JOINGAME			"Join game"
	*MENU_SCAN			"Scan servers"
	*MENU_JOIN			"Join"

	// Server list
	*MENU_IPADDR			"IP Address"
	*MENU_SERVERNAME		"Server name"
	*MENU_MAPTYPE			"Type"
	*MENU_MAPNAME			"Map"
	*MENU_MAPPLAYERS		"Players"
	*MENU_FL			"FL"
	*MENU_TL			"TL"
	*MENU_PING			"Return"
	*MENU_PLAYERNAME		"Player name"

	// Player list
	*MENU_PLISTTEAM		"Team"
	*MENU_PLISTSCORE		"Punkte"
	*MENU_PLISTPING			"Ping"

	// Server variable list
	*MENU_SVV_VARNAME		"Variable"
	*MENU_SVV_VARVALUE		"Wert"

	// Options
	*MENU_WORLDTXT		"Auflösung der Welt-Texturen"
	*MENU_OBJECTTXT		"Auflösung der Objekt-Texturen"
	*MENU_MULTIPASS		"Multipass Materialien"
	*MENU_DISABLE			"Inaktiv"
	*MENU_ENABLE			"Aktiv"
	*MENU_FLARES			"Flares"
	*MENU_DYNLIGHT			"Dynamische Lichter"
	*MENU_MODELLIGHT		"Modellausleuchtung"
	*MENU_NICE			"Schön"
	*MENU_FAST			"Schnell"
	*MENU_WALLMARK		"Markierungen an Wänden"
	*MENU_STENCILSHADOWS		"Formschatten"
	*MENU_MOUSESENSX		"Mausempfindlichkeit X"
	*MENU_MOUSESENSY		"Mausempfindlichkeit Y"
	*MENU_MOUSEINVERT		"Maus umkehren"
	*MENU_NO			"Nein"
	*MENU_YES			"Ja"
	*MENU_BRIGHTNESS		"Helligkeit"
	*MENU_APPLY			"Übernehmen"

	*MENU_CONTROLS		"Steuerung"
	*MENU_AUDIO			"Audio"
	*MENU_VIDEO			"Video"
	*MENU_PARCTRL			"Zugriffskontrolle"
	*MENU_LANG			"Sprache"

	*MENU_CHOOSELOC		"Zielort auswählen"

	*MENU_DEVINSTALL		"Hiermit wird Enclave auf die Dev-Kit-Festplatte der Xbox installiert"
	*MENU_DEVREBOOT1		"Installation abgeschlossen"
	*MENU_DEVREBOOT2		"Bitte die CD aus dem Laufwerk nehmen und neu starten."

	// Game menu
	*MENU_RESUME			"Fortsetzen"
	*MENU_RESTARTMAP		"Karte neu starten"
	*MENU_MISSIONFAIL		"Mission abbrechen"
	*MENU_MISSIONSUCCESS		"Mission beenden"
	*MENU_CONTROLLER		"Controller"
	*MENU_NOCLIP			"'noclip' ein/aus"
	*MENU_DEBUGMENU			"Debug-Menü"
	*MENU_QUITTOMENU		"Zurück zum Menü"
	*MENU_SHOWBRIEFING		"Missionsziele anzeigen"
	*MENU_RESTARTMISSION	"Mission neu starten"
	*MENU_QUITTOMAP			"Beenden und zur Karte"

	// Upgrade
	*MENU_GOLD			"Gold:"
	*MENU_EQUIP			"Charakter ausrüsten"
	*MENU_EQUIPSEL			"Charakter auswählen"
	*MENU_CLOSE			"Schliessen"
	*MENU_TEAM			"Team"
	*MENU_TEAMLIGHT			"Licht"
	*MENU_TEAMDARK			"Finsternis"
	*MENU_CHARACTER			"Charakter"
	*MENU_SPECTATE			"Beobachter"
	*MENU_ENTERGAME			"Spiel beginnen"
	*MENU_ENDMISSION		"Mission beenden"
	*MENU_NEXTPAGE			"Nächste Seite"
	*MENU_GOTO			"Gehe zu"
	*MENU_LOADING			"Lade §p0..."
	*MENU_CONNECTING		"Verbinden..."
	*MENU_CONNECTCOMPLETE		"Sequence complete, waiting for server."
	*MENU_PROGRESS			"§p0% complete"

	// Strings from gamecode
	*MENU_NEXTCHAR			"Nächster Charakter"
	*MENU_PREVCHAR			"Voriger Charakter"
	*MENU_DONE			"Fertig"
	*MENU_SKILLS			"Fähigkeiten"
	*MENU_CURRENCY			"Fähigkeitspunkte"
	*MENU_CHANGEITEM		"Gegenstand §p0 ändern"
	*MENU_CHANGESKILL		"Fähigkeit §p0 ändern"
	*MENU_BUY			"§p0 kaufen"
	*MENU_BACKTOITEMS		"Zurück zu den Gegenständen"
	*MENU_GOTO_SC			"Zur Auswahl der Herausforderung"
	*MENU_ITEMS			"Gegenstände"
	*MENU_GOLD2			"Gold"
	*MENU_SKILLPOINTS		"Fähigkeitspunkte: §p0"

	// Dialogue window
	*MENU_DLGEXIT			"Ende"
	*MENU_CUTSCENEQUIT		"Weiter"
	*MENU_BRIEFING			"Briefing"
	*MENU_BRIEFINGQUIT		"Briefing beenden"
	*MENU_SCORENEXT			"Nächste Seite"
	*MENU_SCOREREPLAY		"Karte erneut spielen"
	*MENU_SELECTCHALLANGE		"Auswahl"

	*MENU_FAIL_FREEBLOCKS_Q4 "Die Xbox hat nicht genügend freie Blöcke, um Optionen zu speichern. (§p0 Blöcke benötigt. §p1 freie Blöcke vorhanden.)"
	*MENU_FAIL_FREEBLOCKS_Q3 "Die Xbox hat nicht genügend freie Blöcke, um Spiele zu speichern. A-Taste drücken, um ohne zu speichern weiterzuspielen, B-Taste drücken, um für mehr freie Blöcke zu sorgen."
	*MENU_FAIL_FREEBLOCKS_Q2 "Die Xbox hat nicht genügend freie Blöcke, um Spielstände und Optionen zu speichern. (§p0 Blöcke benötigt. §p1 freie Blöcke vorhanden.)"
	*MENU_FAIL_FREEBLOCKS_Q "Die Xbox hat nicht genügend freie Blöcke, um ein neues Spiel zu speichern. (§p0 Blöcke benötigt. §p1 freie Blöcke vorhanden.)"
	*MENU_FAIL_FREEBLOCKS_A "Ohne Speichern fortfahren"
	*MENU_FAIL_FREEBLOCKS_B "Blöcke freimachen"
	*MENU_FAIL_FREESLOTS_Q "Es sind nicht genügend freie Blöcke vorhanden, um ein neues Spiel zu speichern."
	*MENU_FAIL_FREESLOTS_A "Ohne Speichern fortfahren"
	*MENU_FAIL_FREESLOTS_B "Spielstand löschen"
	*MENU_FAIL_TOMANYSAVES_Q "Die maximale Anzahl an Spielständen auf deinem Speichermedium wurde überschritten."
	*MENU_FAIL_TOMANYSAVES_A "Ohne Speichern fortfahren."
	*MENU_FAIL_TOMANYSAVES_B "Spielstand in der Xbox Steuerung löschen."
	*MENU_EXIT "Menü verlassen?"
	*MENU_FAIL_MAXSAVES "Zu viele Spielstände auf diesem Rechner. Es werden nur die ersten 10 angezeigt."

	// Select char
	*MENU_SC_CHOOSE			"Charakter auswählen"

	// Game
	*GAME_CANNOTAFFORD		"Dieser Gegenstand ist zu teuer."
	*GAME_BUYTIMEOUT		"Die Zeit fürs Ausrüsten ist vorüber."


	// Characters
	*CHAR_PALADIN			"Ritter"
	*CHARDESC_PALADIN		"Die Ritter sind starke Krieger, geachtet und gefürchtet für ihren Mut und ihre Tapferkeit."
	*CHAR_ARCHER			"Jägerin"
	*CHARDESC_ARCHER		"Die Jägerinnen sind agil und sehr geschickt im Umgang mit dem Bogen."
	*CHAR_WIZARD			"Zauberer"
	*CHARDESC_WIZARD		"Die Zauberer sind mächtige Elementarmagier."
	*CHAR_DRUID			"Druidin"
	*CHARDESC_DRUID			"Die Druiden beziehen ihre magische Energie aus der Erde und dem Geist."
	*CHAR_ENGINEER			"Ingenieur"
	*CHARDESC_ENGINEER		"Die Ingenieure sind sehr geschickt im Umgang mit Bomben und Fallen."
	*CHAR_BOARRIDER			"Halbling"
	*CHARDESC_BOARRIDER		"Die Halblinge sind schnelle und gewandte Krieger."
	*CHAR_BERSERKER			"Berserker"
	*CHARDESC_BERSERKER		"Die brutale Kraft des Berserkers ist im Kampf ungeschlagen."
	*CHAR_ASSASSIN			"Assassine"
